TRANSPORT,START,END,A,B,SPEED
CARGO_17,1859-12-09 21:09:46,1859-12-10 10:53:12,Irondale,Cogburg,75.34
CARGO_17,1859-12-10 10:53:12,1859-12-11 04:33:53,Cogburg,Steamdrift,71.78
CARGO_18,1859-12-11 04:33:53,1859-12-11 19:25:05,Steamdrift,Cogburg,85.44
CARGO_19,1859-12-11 19:25:05,1859-12-12 06:28:43,Cogburg,Irondale,93.49
CARGO_19,1859-12-12 06:28:43,1859-12-12 11:48:26,Irondale,Gizbourne,98.71
CARGO_20,1859-12-12 11:48:26,1859-12-12 18:42:54,Gizbourne,Irondale,76.15
CARGO_21,1859-12-12 18:42:54,1859-12-13 13:05:33,Irondale,Rustport,70.85
CARGO_22,1859-12-13 13:05:33,1859-12-14 08:12:37,Rustport,Irondale,68.1
CARGO_23,1859-12-14 08:12:37,1859-12-14 18:00:50,Irondale,Leverstorm,64.16
CARGO_24,1859-12-14 18:00:50,1859-12-15 03:23:05,Leverstorm,Irondale,67.12
CARGO_24,1859-12-15 03:23:05,1859-12-15 21:33:35,Irondale,Rustport,71.64
CARGO_25,1859-12-15 21:33:35,1859-12-16 11:57:42,Rustport,Gizbourne,84.71
CARGO_26,1859-12-16 11:57:42,1859-12-16 19:12:20,Gizbourne,Irondale,72.61
CARGO_27,1859-12-16 19:12:20,1859-12-17 12:37:36,Irondale,Rustport,74.74
CARGO_28,1859-12-17 12:37:36,1859-12-18 10:45:18,Rustport,Steamdrift,87.99
CARGO_29,1859-12-18 10:45:18,1859-12-19 09:26:44,Steamdrift,Rustport,85.81
CARGO_30,1859-12-19 09:26:44,1859-12-20 03:27:35,Rustport,Irondale,72.28
CARGO_31,1859-11-24 08:00:00,1859-11-24 21:55:15,Irondale,Cogburg,74.28
CARGO_31,1859-11-24 21:55:15,1859-11-25 15:42:43,Cogburg,Steamdrift,71.33
CARGO_32,1859-11-25 15:42:43,1859-11-26 09:42:37,Steamdrift,Cogburg,70.51
CARGO_33,1859-11-26 09:42:37,1859-11-27 03:25:16,Cogburg,Rustport,80.23
CARGO_34,1859-11-27 03:25:16,1859-11-27 23:44:10,Rustport,Steamdrift,95.84
CARGO_35,1859-11-27 23:44:10,1859-11-28 21:04:22,Steamdrift,Rustport,91.25
CARGO_36,1859-11-28 21:04:22,1859-11-29 13:58:59,Rustport,Irondale,76.99
CARGO_36,1859-11-29 13:58:59,1859-11-29 21:53:44,Irondale,Leverstorm,79.49
CARGO_37,1859-11-29 21:53:44,1859-11-30 05:45:13,Leverstorm,Irondale,80.04
CARGO_37,1859-11-30 05:45:13,1859-11-30 17:58:39,Irondale,Cogburg,84.59
CARGO_38,1859-11-30 17:58:39,1859-12-01 07:14:54,Cogburg,Irondale,77.92
CARGO_38,1859-12-01 07:14:54,1859-12-01 16:39:31,Irondale,Leverstorm,66.84
CARGO_39,1859-12-01 16:39:31,1859-12-02 00:44:42,Leverstorm,Copperhold,70.37
CARGO_40,1859-12-02 00:44:42,1859-12-02 14:20:45,Copperhold,Cogburg,76.98
CARGO_40,1859-12-02 14:20:45,1859-12-03 05:37:26,Cogburg,Steamdrift,83.06
CARGO_41,1859-12-03 05:37:26,1859-12-03 21:25:48,Steamdrift,Cogburg,80.29
CARGO_41,1859-12-03 21:25:48,1859-12-04 09:53:00,Cogburg,Irondale,83.03
CARGO_41,1859-12-04 09:53:00,1859-12-04 16:15:22,Irondale,Gizbourne,82.54
CARGO_42,1859-12-04 16:15:22,1859-12-04 23:05:47,Gizbourne,Irondale,76.9
CARGO_43,1859-12-04 23:05:47,1859-12-05 14:07:57,Irondale,Rustport,86.59
CARGO_44,1859-12-05 14:07:57,1859-12-06 09:13:38,Rustport,Cogburg,74.42
CARGO_45,1859-12-06 09:13:38,1859-12-07 04:17:34,Cogburg,Steamdrift,66.56
CARGO_46,1859-12-07 04:17:34,1859-12-07 20:51:56,Steamdrift,Cogburg,76.57
CARGO_46,1859-12-07 20:51:56,1859-12-08 08:59:23,Cogburg,Irondale,85.28
CARGO_46,1859-12-08 08:59:23,1859-12-08 17:06:07,Irondale,Leverstorm,77.54
CARGO_47,1859-12-08 17:06:07,1859-12-09 02:36:03,Leverstorm,Irondale,66.22
CARGO_47,1859-12-09 02:36:03,1859-12-09 15:59:37,Irondale,Cogburg,77.2
CARGO_47,1859-12-09 15:59:37,1859-12-10 11:52:18,Cogburg,Steamdrift,63.84
CARGO_48,1859-12-10 11:52:18,1859-12-11 04:28:12,Steamdrift,Cogburg,76.45
CARGO_49,1859-12-11 04:28:12,1859-12-11 14:59:15,Cogburg,Irondale,98.31
CARGO_49,1859-12-11 14:59:15,1859-12-11 20:36:09,Irondale,Gizbourne,93.68
CARGO_50,1859-12-11 20:36:09,1859-12-12 09:24:13,Gizbourne,Rustport,95.3
CARGO_51,1859-12-12 09:24:13,1859-12-13 10:59:48,Rustport,Steamdrift,76.08
CARGO_52,1859-12-13 10:59:48,1859-12-14 12:13:06,Steamdrift,Rustport,77.2
CARGO_53,1859-12-14 12:13:06,1859-12-15 04:55:39,Rustport,Irondale,77.92
CARGO_53,1859-12-15 04:55:39,1859-12-15 14:03:42,Irondale,Leverstorm,68.86
CARGO_54,1859-12-15 14:03:42,1859-12-15 22:52:01,Leverstorm,Irondale,71.43
CARGO_54,1859-12-15 22:52:01,1859-12-16 12:03:59,Irondale,Cogburg,78.34
CARGO_55,1859-12-16 12:03:59,1859-12-17 03:18:49,Cogburg,Copperhold,68.67
CARGO_56,1859-12-17 03:18:49,1859-12-17 07:27:16,Copperhold,Irondale,83.32
CARGO_56,1859-12-17 07:27:16,1859-12-17 13:00:04,Irondale,Gizbourne,94.83
CARGO_57,1859-12-17 13:00:04,1859-12-17 19:31:28,Gizbourne,Irondale,80.63
CARGO_57,1859-12-17 19:31:28,1859-12-18 07:36:52,Irondale,Cogburg,85.53
CARGO_58,1859-12-18 07:36:52,1859-12-19 00:50:37,Cogburg,Rustport,82.48
CARGO_59,1859-12-19 00:50:37,1859-12-19 16:39:26,Rustport,Irondale,82.33
CARGO_59,1859-12-19 16:39:26,1859-12-19 21:18:19,Irondale,Copperhold,74.22
CARGO_60,1859-12-19 21:18:19,1859-12-20 11:04:54,Copperhold,Cogburg,76.0
CARGO_61,1859-11-24 08:00:00,1859-11-25 03:30:21,Cogburg,Steamdrift,65.06
CARGO_62,1859-11-25 03:30:21,1859-11-25 19:33:32,Steamdrift,Cogburg,79.05
CARGO_62,1859-11-25 19:33:32,1859-11-26 09:06:12,Cogburg,Copperhold,77.3
CARGO_63,1859-11-26 09:06:12,1859-11-26 13:23:06,Copperhold,Irondale,80.58
CARGO_63,1859-11-26 13:23:06,1859-11-26 19:25:34,Irondale,Gizbourne,87.07
CARGO_64,1859-11-26 19:25:34,1859-11-27 00:54:19,Gizbourne,Irondale,96.0
CARGO_64,1859-11-27 00:54:19,1859-11-27 04:45:19,Irondale,Copperhold,89.61
CARGO_65,1859-11-27 04:45:19,1859-11-27 17:41:34,Copperhold,Cogburg,80.93
CARGO_65,1859-11-27 17:41:34,1859-11-28 08:23:56,Cogburg,Steamdrift,86.29
CARGO_66,1859-11-28 08:23:56,1859-11-29 02:56:01,Steamdrift,Cogburg,68.47
CARGO_66,1859-11-29 02:56:01,1859-11-29 16:20:20,Cogburg,Irondale,77.13
CARGO_67,1859-11-29 16:20:20,1859-11-30 10:15:49,Irondale,Rustport,72.64
CARGO_68,1859-11-30 10:15:49,1859-12-01 04:52:32,Rustport,Irondale,69.96
CARGO_69,1859-12-01 04:52:32,1859-12-01 17:05:35,Irondale,Cogburg,84.63
CARGO_69,1859-12-01 17:05:35,1859-12-02 10:18:55,Cogburg,Steamdrift,73.68
CARGO_70,1859-12-02 10:18:55,1859-12-03 05:23:48,Steamdrift,Cogburg,66.5
CARGO_70,1859-12-03 05:23:48,1859-12-03 21:37:57,Cogburg,Copperhold,64.49
CARGO_71,1859-12-03 21:37:57,1859-12-04 01:34:56,Copperhold,Irondale,87.35
CARGO_71,1859-12-04 01:34:56,1859-12-04 16:17:34,Irondale,Rustport,88.51
CARGO_72,1859-12-04 16:17:34,1859-12-05 15:25:40,Rustport,Steamdrift,84.16
CARGO_73,1859-12-05 15:25:40,1859-12-06 10:44:09,Steamdrift,Cogburg,65.72
CARGO_73,1859-12-06 10:44:09,1859-12-07 00:19:22,Cogburg,Irondale,76.1
CARGO_73,1859-12-07 00:19:22,1859-12-07 07:43:27,Irondale,Gizbourne,71.07
CARGO_74,1859-12-07 07:43:27,1859-12-07 19:59:51,Gizbourne,Leverstorm,70.56
CARGO_75,1859-12-07 19:59:51,1859-12-08 03:32:01,Leverstorm,Copperhold,75.5
CARGO_75,1859-12-08 03:32:01,1859-12-08 16:18:33,Copperhold,Cogburg,81.95
CARGO_75,1859-12-08 16:18:33,1859-12-09 09:24:19,Cogburg,Steamdrift,74.23
CARGO_76,1859-12-09 09:24:19,1859-12-10 11:39:06,Steamdrift,Rustport,74.18
CARGO_77,1859-12-10 11:39:06,1859-12-11 02:26:40,Rustport,Gizbourne,82.47
CARGO_78,1859-12-11 02:26:40,1859-12-11 08:02:52,Gizbourne,Irondale,93.87
CARGO_78,1859-12-11 08:02:52,1859-12-11 18:46:10,Irondale,Cogburg,96.44
CARGO_79,1859-12-11 18:46:10,1859-12-12 10:51:40,Cogburg,Steamdrift,78.86
CARGO_80,1859-12-12 10:51:40,1859-12-13 04:31:23,Steamdrift,Cogburg,71.85
CARGO_80,1859-12-13 04:31:23,1859-12-13 19:44:29,Cogburg,Copperhold,68.8
CARGO_80,1859-12-13 19:44:29,1859-12-14 04:35:50,Copperhold,Leverstorm,64.25
CARGO_81,1859-12-14 04:35:50,1859-12-14 12:37:54,Leverstorm,Irondale,78.29
CARGO_81,1859-12-14 12:37:54,1859-12-15 06:04:13,Irondale,Rustport,74.66
CARGO_82,1859-12-15 06:04:13,1859-12-16 01:21:16,Rustport,Irondale,67.52
CARGO_82,1859-12-16 01:21:16,1859-12-16 10:24:31,Irondale,Leverstorm,69.47
CARGO_83,1859-12-16 10:24:31,1859-12-16 20:45:10,Leverstorm,Irondale,60.81
CARGO_83,1859-12-16 20:45:10,1859-12-17 15:10:14,Irondale,Rustport,70.69
CARGO_84,1859-12-17 15:10:14,1859-12-18 07:22:43,Rustport,Irondale,80.33
CARGO_84,1859-12-18 07:22:43,1859-12-18 16:11:52,Irondale,Leverstorm,71.32
CARGO_85,1859-12-18 16:11:52,1859-12-19 03:18:39,Leverstorm,Gizbourne,77.93
CARGO_86,1859-12-19 03:18:39,1859-12-19 09:44:09,Gizbourne,Irondale,81.87
CARGO_86,1859-12-19 09:44:09,1859-12-19 14:14:47,Irondale,Copperhold,76.49
CARGO_87,1859-12-19 14:14:47,1859-12-19 19:32:46,Copperhold,Irondale,65.1
CARGO_87,1859-12-19 19:32:46,1859-12-20 15:17:48,Irondale,Rustport,65.92
CARGO_88,1859-12-20 15:17:48,1859-12-21 07:40:55,Rustport,Gizbourne,74.46
CARGO_89,1859-12-21 07:40:55,1859-12-21 14:53:26,Gizbourne,Irondale,72.97
CARGO_89,1859-12-21 14:53:26,1859-12-22 05:39:35,Irondale,Cogburg,70.01
CARGO_90,1859-12-22 05:39:35,1859-12-23 00:11:47,Cogburg,Steamdrift,68.46
CARGO_91,1859-11-24 08:00:00,1859-11-25 11:19:37,Steamdrift,Rustport,71.25
CARGO_92,1859-11-25 11:19:37,1859-11-26 07:30:58,Rustport,Cogburg,70.38
CARGO_93,1859-11-26 07:30:58,1859-11-27 01:36:50,Cogburg,Rustport,78.52
CARGO_94,1859-11-27 01:36:50,1859-11-27 21:47:08,Rustport,Steamdrift,96.52
CARGO_95,1859-11-27 21:47:08,1859-11-28 12:47:17,Steamdrift,Cogburg,84.59
CARGO_95,1859-11-28 12:47:17,1859-11-28 23:03:53,Cogburg,Irondale,100.62
CARGO_96,1859-11-28 23:03:53,1859-11-29 05:42:12,Irondale,Gizbourne,79.24
CARGO_97,1859-11-29 05:42:12,1859-11-29 12:25:49,Gizbourne,Irondale,78.19
CARGO_97,1859-11-29 12:25:49,1859-11-30 01:50:22,Irondale,Cogburg,77.11
CARGO_98,1859-11-30 01:50:22,1859-11-30 18:13:49,Cogburg,Steamdrift,77.42
CARGO_99,1859-11-30 18:13:49,1859-12-01 12:49:00,Steamdrift,Cogburg,68.28
CARGO_99,1859-12-01 12:49:00,1859-12-02 05:03:50,Cogburg,Copperhold,64.44
CARGO_100,1859-12-02 05:03:50,1859-12-02 09:45:20,Copperhold,Irondale,73.54
CARGO_100,1859-12-02 09:45:20,1859-12-03 03:33:39,Irondale,Rustport,73.12
CARGO_101,1859-12-03 03:33:39,1859-12-03 17:27:32,Rustport,Irondale,93.68
CARGO_102,1859-12-03 17:27:32,1859-12-04 01:43:32,Irondale,Leverstorm,76.09
CARGO_103,1859-12-04 01:43:32,1859-12-04 08:27:39,Leverstorm,Irondale,93.39
CARGO_103,1859-12-04 08:27:39,1859-12-04 19:22:49,Irondale,Cogburg,94.69
CARGO_103,1859-12-04 19:22:49,1859-12-05 10:08:16,Cogburg,Steamdrift,85.99
CARGO_104,1859-12-05 10:08:16,1859-12-06 05:04:26,Steamdrift,Cogburg,67.02
CARGO_104,1859-12-06 05:04:26,1859-12-06 18:08:01,Cogburg,Irondale,79.17
CARGO_105,1859-12-06 18:08:01,1859-12-07 08:44:03,Irondale,Cogburg,70.82
CARGO_105,1859-12-07 08:44:03,1859-12-08 02:31:13,Cogburg,Steamdrift,71.35
CARGO_106,1859-12-08 02:31:13,1859-12-08 19:11:35,Steamdrift,Cogburg,76.11
CARGO_106,1859-12-08 19:11:35,1859-12-09 06:51:34,Cogburg,Irondale,88.63
CARGO_107,1859-12-09 06:51:34,1859-12-09 20:47:32,Irondale,Cogburg,74.21
CARGO_108,1859-12-09 20:47:32,1859-12-10 08:54:52,Cogburg,Irondale,85.3
CARGO_108,1859-12-10 08:54:52,1859-12-10 17:01:00,Irondale,Leverstorm,77.64
CARGO_109,1859-12-10 17:01:00,1859-12-11 00:10:04,Leverstorm,Copperhold,79.57
CARGO_109,1859-12-11 00:10:04,1859-12-11 13:42:27,Copperhold,Cogburg,77.33
CARGO_110,1859-12-11 13:42:27,1859-12-12 07:16:28,Cogburg,Rustport,80.89
CARGO_111,1859-12-12 07:16:28,1859-12-13 01:42:57,Rustport,Irondale,70.6
CARGO_112,1859-12-13 01:42:57,1859-12-13 17:27:56,Irondale,Rustport,82.67
CARGO_113,1859-12-13 17:27:56,1859-12-14 09:09:30,Rustport,Gizbourne,77.74
CARGO_114,1859-12-14 09:09:30,1859-12-14 16:31:14,Gizbourne,Irondale,71.45
CARGO_114,1859-12-14 16:31:14,1859-12-15 06:14:40,Irondale,Cogburg,75.34
CARGO_114,1859-12-15 06:14:40,1859-12-16 01:21:01,Cogburg,Steamdrift,66.42
CARGO_115,1859-12-16 01:21:01,1859-12-17 00:05:43,Steamdrift,Rustport,85.6
CARGO_116,1859-12-17 00:05:43,1859-12-17 12:44:24,Rustport,Gizbourne,96.48
CARGO_117,1859-12-17 12:44:24,1859-12-17 19:13:36,Gizbourne,Irondale,81.09
CARGO_117,1859-12-17 19:13:36,1859-12-17 23:25:48,Irondale,Copperhold,82.08
CARGO_118,1859-12-17 23:25:48,1859-12-18 03:20:45,Copperhold,Irondale,88.1
CARGO_118,1859-12-18 03:20:45,1859-12-18 17:26:57,Irondale,Rustport,92.32
CARGO_119,1859-12-18 17:26:57,1859-12-19 08:16:42,Rustport,Gizbourne,82.27
CARGO_120,1859-12-19 08:16:42,1859-12-19 15:34:11,Gizbourne,Irondale,72.14
CARGO_120,1859-12-19 15:34:11,1859-12-20 05:31:19,Irondale,Cogburg,74.11
CARGO_120,1859-12-20 05:31:19,1859-12-20 22:55:23,Cogburg,Steamdrift,72.93
CARGO_121,1859-11-24 08:00:00,1859-11-25 02:17:05,Steamdrift,Cogburg,69.4
CARGO_121,1859-11-25 02:17:05,1859-11-25 18:27:26,Cogburg,Copperhold,64.74
CARGO_122,1859-11-25 18:27:26,1859-11-26 10:10:16,Copperhold,Cogburg,66.63
CARGO_123,1859-11-26 10:10:16,1859-11-26 23:09:41,Cogburg,Irondale,79.6
CARGO_123,1859-11-26 23:09:41,1859-11-27 06:02:08,Irondale,Gizbourne,76.52
CARGO_124,1859-11-27 06:02:08,1859-11-27 20:28:25,Gizbourne,Rustport,84.5
CARGO_125,1859-11-27 20:28:25,1859-11-28 09:16:53,Rustport,Gizbourne,95.25
CARGO_126,1859-11-28 09:16:53,1859-11-29 02:26:51,Gizbourne,Rustport,71.07
CARGO_127,1859-11-29 02:26:51,1859-11-29 18:20:35,Rustport,Irondale,81.91
CARGO_127,1859-11-29 18:20:35,1859-11-29 22:54:26,Irondale,Copperhold,75.59
CARGO_128,1859-11-29 22:54:26,1859-11-30 13:16:13,Copperhold,Cogburg,72.9
CARGO_128,1859-11-30 13:16:13,1859-12-01 06:36:51,Cogburg,Steamdrift,73.17
CARGO_129,1859-12-01 06:36:51,1859-12-02 03:40:16,Steamdrift,Cogburg,60.27
CARGO_130,1859-12-02 03:40:16,1859-12-02 19:41:43,Cogburg,Steamdrift,79.19
CARGO_131,1859-12-02 19:41:43,1859-12-03 10:55:47,Steamdrift,Cogburg,83.3
CARGO_131,1859-12-03 10:55:47,1859-12-03 22:58:52,Cogburg,Irondale,85.8
CARGO_132,1859-12-03 22:58:52,1859-12-04 12:53:14,Irondale,Rustport,93.63
CARGO_133,1859-12-04 12:53:14,1859-12-05 02:32:56,Rustport,Gizbourne,89.3
CARGO_134,1859-12-05 02:32:56,1859-12-05 17:06:19,Gizbourne,Rustport,83.81
CARGO_135,1859-12-05 17:06:19,1859-12-06 09:44:17,Rustport,Gizbourne,73.35
CARGO_136,1859-12-06 09:44:17,1859-12-06 17:13:35,Gizbourne,Irondale,70.24
CARGO_136,1859-12-06 17:13:35,1859-12-07 07:17:34,Irondale,Cogburg,73.51
CARGO_137,1859-12-07 07:17:34,1859-12-08 04:02:26,Cogburg,Rustport,68.49
CARGO_138,1859-12-08 04:02:26,1859-12-08 19:56:01,Rustport,Irondale,81.92
CARGO_138,1859-12-08 19:56:01,1859-12-09 00:31:34,Irondale,Copperhold,75.12
CARGO_139,1859-12-09 00:31:34,1859-12-09 04:57:43,Copperhold,Irondale,77.78
CARGO_139,1859-12-09 04:57:43,1859-12-09 11:04:27,Irondale,Gizbourne,86.06
CARGO_140,1859-12-09 11:04:27,1859-12-09 17:51:47,Gizbourne,Irondale,77.48
CARGO_141,1859-12-09 17:51:47,1859-12-10 13:42:22,Irondale,Rustport,65.61
CARGO_142,1859-12-10 13:42:22,1859-12-11 06:03:18,Rustport,Irondale,79.64
CARGO_143,1859-12-11 06:03:18,1859-12-11 23:40:48,Irondale,Rustport,73.87
CARGO_144,1859-12-11 23:40:48,1859-12-12 14:53:38,Rustport,Cogburg,93.4
CARGO_145,1859-12-12 14:53:38,1859-12-13 05:59:46,Cogburg,Copperhold,69.33
CARGO_146,1859-12-13 05:59:46,1859-12-13 22:30:13,Copperhold,Cogburg,63.43
CARGO_146,1859-12-13 22:30:13,1859-12-14 18:41:42,Cogburg,Steamdrift,62.85
CARGO_147,1859-12-14 18:41:42,1859-12-15 13:18:57,Steamdrift,Cogburg,68.15
CARGO_147,1859-12-15 13:18:57,1859-12-16 03:06:43,Cogburg,Irondale,74.95
CARGO_147,1859-12-16 03:06:43,1859-12-16 10:26:16,Irondale,Gizbourne,71.8
CARGO_148,1859-12-16 10:26:16,1859-12-16 17:52:23,Gizbourne,Irondale,70.75
CARGO_148,1859-12-16 17:52:23,1859-12-17 07:25:48,Irondale,Cogburg,76.27
CARGO_149,1859-12-17 07:25:48,1859-12-17 19:47:06,Cogburg,Irondale,83.69
CARGO_150,1859-12-17 19:47:06,1859-12-18 06:59:48,Irondale,Cogburg,92.23
CARGO_151,1859-11-24 08:00:00,1859-11-25 02:23:32,Cogburg,Steamdrift,69.0
CARGO_152,1859-11-25 02:23:32,1859-11-25 18:31:39,Steamdrift,Cogburg,78.65
CARGO_153,1859-11-25 18:31:39,1859-11-26 12:27:52,Cogburg,Steamdrift,70.75
CARGO_154,1859-11-26 12:27:52,1859-11-27 11:43:14,Steamdrift,Rustport,83.72
CARGO_155,1859-11-27 11:43:14,1859-11-28 02:39:08,Rustport,Gizbourne,81.7
CARGO_156,1859-11-28 02:39:08,1859-11-28 18:04:02,Gizbourne,Rustport,79.14
CARGO_157,1859-11-28 18:04:02,1859-11-29 18:52:05,Rustport,Steamdrift,78.51
CARGO_158,1859-11-29 18:52:05,1859-11-30 12:27:51,Steamdrift,Cogburg,72.12
CARGO_158,1859-11-30 12:27:51,1859-12-01 02:36:46,Cogburg,Irondale,73.08
CARGO_158,1859-12-01 02:36:46,1859-12-01 12:08:20,Irondale,Leverstorm,66.03
CARGO_159,1859-12-01 12:08:20,1859-12-01 21:15:54,Leverstorm,Irondale,68.92
CARGO_159,1859-12-01 21:15:54,1859-12-02 11:24:29,Irondale,Cogburg,73.11
CARGO_160,1859-12-02 11:24:29,1859-12-02 23:56:14,Cogburg,Irondale,82.53
CARGO_160,1859-12-02 23:56:14,1859-12-03 09:27:29,Irondale,Leverstorm,66.07
CARGO_161,1859-12-03 09:27:29,1859-12-03 16:27:28,Leverstorm,Copperhold,81.29
CARGO_161,1859-12-03 16:27:28,1859-12-04 05:58:38,Copperhold,Cogburg,77.44
CARGO_162,1859-12-04 05:58:38,1859-12-04 17:35:55,Cogburg,Irondale,88.97
CARGO_162,1859-12-04 17:35:55,1859-12-05 01:35:07,Irondale,Leverstorm,78.75
CARGO_163,1859-12-05 01:35:07,1859-12-05 09:03:10,Leverstorm,Copperhold,76.2
CARGO_164,1859-12-05 09:03:10,1859-12-06 00:21:44,Copperhold,Cogburg,68.39
CARGO_164,1859-12-06 00:21:44,1859-12-06 19:26:22,Cogburg,Steamdrift,66.52
CARGO_165,1859-12-06 19:26:22,1859-12-07 11:58:42,Steamdrift,Cogburg,76.73
CARGO_165,1859-12-07 11:58:42,1859-12-07 23:33:18,Cogburg,Irondale,89.32
CARGO_165,1859-12-07 23:33:18,1859-12-08 06:03:42,Irondale,Gizbourne,80.84
CARGO_166,1859-12-08 06:03:42,1859-12-08 13:45:58,Gizbourne,Irondale,68.27
CARGO_166,1859-12-08 13:45:58,1859-12-08 18:52:12,Irondale,Copperhold,67.59
CARGO_167,1859-12-08 18:52:12,1859-12-09 00:00:27,Copperhold,Irondale,67.16
CARGO_167,1859-12-09 00:00:27,1859-12-09 07:21:59,Irondale,Gizbourne,71.48
CARGO_168,1859-12-09 07:21:59,1859-12-09 20:15:35,Gizbourne,Leverstorm,67.17
CARGO_169,1859-12-09 20:15:35,1859-12-10 04:47:48,Leverstorm,Irondale,73.68
CARGO_170,1859-12-10 04:47:48,1859-12-10 19:28:30,Irondale,Rustport,88.7
CARGO_171,1859-12-10 19:28:30,1859-12-11 10:39:24,Rustport,Cogburg,93.6
CARGO_172,1859-12-11 10:39:24,1859-12-11 21:58:33,Cogburg,Irondale,91.35
CARGO_172,1859-12-11 21:58:33,1859-12-12 04:13:04,Irondale,Gizbourne,84.27
CARGO_173,1859-12-12 04:13:04,1859-12-12 10:29:08,Gizbourne,Irondale,83.92
CARGO_173,1859-12-12 10:29:08,1859-12-12 22:20:57,Irondale,Cogburg,87.16
CARGO_173,1859-12-12 22:20:57,1859-12-13 15:28:14,Cogburg,Steamdrift,74.12
CARGO_174,1859-12-13 15:28:14,1859-12-14 10:20:36,Steamdrift,Cogburg,67.24
CARGO_174,1859-12-14 10:20:36,1859-12-15 02:20:13,Cogburg,Copperhold,65.46
CARGO_175,1859-12-15 02:20:13,1859-12-15 06:45:17,Copperhold,Irondale,78.09
CARGO_175,1859-12-15 06:45:17,1859-12-15 12:49:19,Irondale,Gizbourne,86.69
CARGO_176,1859-12-15 12:49:19,1859-12-15 20:19:06,Gizbourne,Irondale,70.17
CARGO_176,1859-12-15 20:19:06,1859-12-16 09:58:28,Irondale,Cogburg,75.72
CARGO_176,1859-12-16 09:58:28,1859-12-17 06:07:18,Cogburg,Steamdrift,62.99
CARGO_177,1859-12-17 06:07:18,1859-12-17 22:02:40,Steamdrift,Cogburg,79.7
CARGO_177,1859-12-17 22:02:40,1859-12-18 10:36:55,Cogburg,Irondale,82.25
CARGO_177,1859-12-18 10:36:55,1859-12-18 17:03:17,Irondale,Gizbourne,81.68
CARGO_178,1859-12-18 17:03:17,1859-12-18 23:28:19,Gizbourne,Irondale,81.97
CARGO_178,1859-12-18 23:28:19,1859-12-19 11:35:59,Irondale,Cogburg,85.26
CARGO_178,1859-12-19 11:35:59,1859-12-20 04:27:40,Cogburg,Steamdrift,75.26
CARGO_179,1859-12-20 04:27:40,1859-12-20 21:40:22,Steamdrift,Cogburg,73.73
CARGO_179,1859-12-20 21:40:22,1859-12-21 11:51:29,Cogburg,Copperhold,73.81
